,,,,LANÇAMENTOS POR DATA DE PAGAMENTOS,,,,,,,,,,,,,,
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33114,,PREFEITURA DO MUNICIPIO DE SAO PAULO,34912,TRANSFERENCIA DE ARQUIVOS,ISS,2/10/2022,2/10/2022,2/10/2022,212.74,0,0,0,0,212.74,ISS -  N.F.: 34912 - EMPRESA TEJOFRAN DE SANEAMENTO E SERVICOS LTDA,MATERIAL DE LIMPEZA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33111,,TELEFONICA BRASIL S A (VIVO),,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/10/2022,2/10/2022,2/10/2022,559.98,0,0,0,0,559.98,CONTA CEL DR RICARDO YAZBEK ,TELEFONIA MOVEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33134,,J D R CONSULTORIA E PARTICIPACOES S A,,TRANSFERENCIA DE ARQUIVOS,CREDITO EM C/C,2/10/2022,2/10/2022,2/10/2022,4866.76,0,0,0,0,4866.76,ALUGUEL REF CONJUNTO 091 - COMPETENCIA 01-2022 ,ALUGUEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33134,,HUBERT IMOVEIS E ADMINISTRACAO LTDA,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/10/2022,2/10/2022,2/10/2022,1294.06,0,0,0,0,1294.06,CONDOMINIO UNIDADE 101 - 10 ANDAR ,CONDOMINIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33134,,HUBERT IMOVEIS E ADMINISTRACAO LTDA,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/10/2022,2/10/2022,2/10/2022,1007.68,0,0,0,0,1007.68,CONDOMINIO UNIDADE 102 - 10 ANDAR ,CONDOMINIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33134,,HUBERT IMOVEIS E ADMINISTRACAO LTDA,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/10/2022,2/10/2022,2/10/2022,977.60,0,0,0,0,977.60,CONDOMINIO UNIDADE 103 ,CONDOMINIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33111,,HUBERT IMOVEIS E ADMINISTRACAO LTDA,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/10/2022,2/10/2022,2/10/2022,1902.95,0,0,0,0,1902.95,CONDOMINIO UNIDADE 091  - J D R,CONDOMINIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33112,,MARELU PARTICIPACOES LTDA,,TRANSFERENCIA DE ARQUIVOS,PIX C/C,2/10/2022,2/10/2022,2/10/2022,3000.00,0,0,0,0,3000.00,ALUGUEL REF CONJUNTO 103 - 10 ANDAR 01/12 - 8 de 12,ALUGUEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33112,,MARELU PARTICIPACOES LTDA,,TRANSFERENCIA DE ARQUIVOS,PIX C/C,2/10/2022,2/10/2022,2/10/2022,3000.00,0,0,0,0,3000.00,ALUGUEL REF CONJUNTO 102 - 01/12 - 8 de 12,ALUGUEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33112,,MARELU PARTICIPACOES LTDA,,TRANSFERENCIA DE ARQUIVOS,PIX C/C,2/10/2022,2/10/2022,2/10/2022,3000.00,0,0,0,0,3000.00,ALUGUEL REF CONJUNTO 101 - 10 ANDAR 01/12 - 8 de 12,ALUGUEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33111,,SIND. DOS TRABALHADORES NAS IND.S DA CONSTR. CIVIL DE SAO PA,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/10/2022,2/10/2022,2/10/2022,200.00,0,0,0,0,200.00,CONTRIBUIÇÃO ASSISTENCIAL,PESSOAL - CONTRIBUIÇÕES
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33111,,SIND. DA IND. DA CONSTR. CIVIL DE GRANDES ESTRUTURAS NO ESTA,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/10/2022,2/10/2022,2/10/2022,1328.73,0,0,0,0,1328.73,GUIA DE RECOLHIMENTO DA CONTRIBUIÇAO ASSOCIATIVA ,ANUALIDADES - SINDUSCON
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33111,,SOMPO SAUDE SEGUROS S.A.,,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,2/10/2022,2/10/2022,2/10/2022,57681.21,0,0,0,0,57681.21,ASSSISTENCIA MEDICA SOMPO,PESSOAL - ASSISTENCIA MEDICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33111,,MARSALA EVENTOS EIRELI,769,TRANSFERENCIA DE ARQUIVOS,CREDITO EM C/C,2/10/2022,2/10/2022,2/10/2022,1000.00,0,0,0,0,1000.00,N.F. NO. 769                           ,PESSOAL - CURSOS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33111,,GPBR PARTICIPAÇÕES LTDA,,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,2/10/2022,2/10/2022,2/10/2022,1132.35,0,0,0,0,1132.35,REPASSE DOS COLABORADORES,PESSOAL - CURSOS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33238,,MAGAZINE LUIZA S/A 0001-21,100220,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/11/2022,2/11/2022,2/11/2022,3969.00,0,0,0,0,3969.00,DOCTO.LIB. NO. 100220 - CEL KATO ,MATERIAL DE ESCRITORIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33111,,ASTEL LINE TELECOMUNICAÇOES LTDA EPP,20638,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/11/2022,2/11/2022,2/11/2022,180.00,0,0,0,0,180.00,N.F. NO. 20638                         ,MANUTENÇÃO DE EQUIPAMENTOS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,J DI PAES E DOCES LTDA EPP,871,TRANSFERENCIA DE ARQUIVOS,CREDITO EM C/C,2/11/2022,2/11/2022,2/11/2022,972.47,0,0,0,0,972.47,N.F. NO. 871                           ,ALIMENTAÇÃO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33111,,SAN BABILA CAFE LTDA EPP,24971,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/11/2022,2/11/2022,2/11/2022,1359.70,0,0,0,0,1359.70,N.F. NO. 24971                         ,ALIMENTAÇÃO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33252,,VIA AGENCIA DIGITAL LTDA,5175,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/14/2022,2/14/2022,2/14/2022,1624.00,0,53.92,0,0,1677.92,N.F. NO. 5175                           - MANUTENÇAO WORDPRESS,CRIAÇÃO E MANUTENÇÃO SITE
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,MARQUEZANI COMERCIO DE PRODUTOS PARA INFORMATICA LTDA,11003,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,2/14/2022,2/14/2022,2/14/2022,2775.70,0,0,0,0,2775.70,N.F. NO. 11003                         ,SUPRIMENTOS INFORMATICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,PRADO CHAVES ARQUIVOS E SISTEMAS LTDA,47015,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/14/2022,2/14/2022,2/14/2022,3209.14,0,0,0,0,3209.14,N.F. NO. 47015                         ,ARQUIVO MORTO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,POLY GARAGENS E ESTACIONAMENTOS LTDA,18288,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/14/2022,2/14/2022,2/14/2022,2025.00,0,0,0,0,2025.00,N.F. NO. 18288                         ,VEICULOS - OUTRAS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,COPIAS & SERVICOS PINHEIROS LTDA,72946,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,2/15/2022,2/15/2022,2/15/2022,231.19,0,0,0,0,231.19,N.F. NO. 72946                         ,COPIADORAS E GRÁFICAS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33209,,PREFEITURA DO MUNICIPIO DE SAO PAULO,,TRANSFERENCIA DE ARQUIVOS,IPTU,2/15/2022,2/15/2022,2/15/2022,795.96,0,0,0,0,795.96,IPTU SOBRE CONJUNTO 101  10 ANDAR  01/10 - CONTRIBUINTE:036.019.0309-1 - 1 de 10,IPTU
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,383761637,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/15/2022,2/15/2022,2/15/2022,286.57,0,0,0,0,286.57,N.F. NO. 383761637                      - PAGAMENTO REF UNIDADE 135,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33209,,PREFEITURA DO MUNICIPIO DE SAO PAULO,,TRANSFERENCIA DE ARQUIVOS,IPTU,2/15/2022,2/15/2022,2/15/2022,577.54,0,0,0,0,577.54,IPTU SOBRE CONJUNTO 0102  10 ANDAR  01/10 - CONTRIBUINTE:036.019.0310-5 - 1 de 10,IPTU
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33209,,PREFEITURA DO MUNICIPIO DE SAO PAULO,,TRANSFERENCIA DE ARQUIVOS,IPTU,2/15/2022,2/15/2022,2/15/2022,553.84,0,0,0,0,553.84,IPTU SOBRE CONJUNTO 103  10 ANDAR  01/10 - CONTRIBUINTE:036.019.0311-3 - 1 de 10,IPTU
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,LOGGI TECNOLOGIA LTDA,3879418,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,2/15/2022,2/15/2022,2/15/2022,14.47,0,0,0,0,14.47,N.F. NO. 3879418                       ,MENSAGEIRO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,LOGGI TECNOLOGIA LTDA,,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,2/15/2022,2/15/2022,2/15/2022,50.17,0,0,0,0,50.17,SERVIÇO DE MOTO FRETE,MENSAGEIRO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,INOVTI SOLUCOES EM INFORMATICA LTDA ME,,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,2/15/2022,2/15/2022,2/15/2022,15067.18,0,0,0,0,15067.18,LICENÇAS PLATAFORMA 365 OFFICE STANDARD 29 PROJETCTS 80 OFFICES BASIC 1 VISIO 1 POWER BI PRO,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33208,,GPBR PARTICIPAÇÕES LTDA,587288,TRANSFERENCIA DE ARQUIVOS,PIX C/C,2/15/2022,2/15/2022,2/15/2022,1361.98,0,0,0,0,1361.98,N.F. NO. 587288                        ,PESSOAL - CURSOS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,ORDEM DOS ADVOGADO DO BRASIL SECÇAO SAO PAULO ,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/15/2022,2/15/2022,2/15/2022,509.22,0,0,0,0,509.22,ANUIDADE DE 2022 - ADVOGADA OAB NR 1929581 (ANDREA ALVES CAINE ),ANUALIDADES - TAXAS DIVERSAS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33262,,NDBIM BRASIL CONSULTORIA EM TECNOLOGIA DA INFORMAÇAO LTDA ,400,TRANSFERENCIA DE ARQUIVOS,CREDITO EM C/C,2/16/2022,2/16/2022,2/16/2022,25461.50,0,0,0,0,25461.50,N.F. NO. 400                           ,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,ESTABILIS CLOUD TECNOLOGIA LTDA ,7045,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/16/2022,2/16/2022,2/16/2022,364.82,0,0,0,0,364.82,N.F. NO. 7045                          ,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,TELEFONICA BRASIL S A (VIVO),239093964,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/16/2022,2/16/2022,2/16/2022,2882.50,0,0,0,0,2882.50,N.F. NO. 239093964                      - REF LINK INTERNET DEDICADA ,INTERNET
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33206,,STA GEMMA FLORICULTURA LTDA ME,2500,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,2/16/2022,2/16/2022,2/16/2022,505.00,0,0,0,0,505.00,N.F. NO. 2500                          ,MATERIAL DE ESCRITORIO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33257,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,383687458,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/17/2022,2/17/2022,2/17/2022,87.67,0,0,0,0,87.67,N.F. NO. 383687458                      - CONTA ENERGIA CONJUNTO 103,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33257,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,363666309,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/17/2022,2/17/2022,2/17/2022,396.35,0,0,0,0,396.35,N.F. NO. 363666309                      - CONTA ENERGIA CONJUNTO 091 ,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33257,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,383659002,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/17/2022,2/17/2022,2/17/2022,258.44,0,0,0,0,258.44,N.F. NO. 383659002                      - CONTA ENERGIA CONJUNTO 96,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33257,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/17/2022,2/17/2022,2/17/2022,1102.37,0,0,0,0,1102.37,ENERGIA CONJUNTO 102 - 10 ANDAR ,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33257,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,383755257,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/17/2022,2/17/2022,2/17/2022,689.12,0,0,0,0,689.12,N.F. NO. 383755257                      - PAGAMENTO REF CONTA ENERGIA CONJUNTO 134,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33310,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,375497539,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/17/2022,2/17/2022,2/17/2022,87.36,0,0,0,0,87.36,N.F. NO. 375497539                      - CONTA ENERGIA CONJUNTO 103,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33310,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,375689584,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/17/2022,2/17/2022,2/17/2022,248.09,0,0,0,0,248.09,N.F. NO. 375689584                      - CONTA ENERGIA CONJUNTO 134,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33310,,ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S A,351315498,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/17/2022,2/17/2022,2/17/2022,76.84,0,0,0,0,76.84,N.F. NO. 351315498                      - PAGAMENTO REF CONTA ENERGIA CONJUNTO 103,ENERGIA ELETRICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33297,,TELEFONICA BRASIL S A (VIVO),428941860,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/17/2022,2/17/2022,2/17/2022,5157.97,0,0,0,0,5157.97,N.F. NO. 428941860                      - PAGAMENTO REF CONTA CEL FUNCIONARIOS,TELEFONIA MOVEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33257,,TELEFONICA BRASIL S A (VIVO),177043055,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/17/2022,2/17/2022,2/17/2022,1878.62,0,0,0,0,1878.62,N.F. NO. 177043055                      - PAGAMENTO REF VALOR PROPORCIONAL,TELEFONIA MOVEL
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33257,,SUL AMERICA SEGUROS DE VIDA E PREVIDENCIA S/A,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/17/2022,2/17/2022,2/17/2022,550.48,0,0,0,0,550.48,PGTO. SEGURO DE VIDA FUNCIONÁRIOS - CRY,PESSOAL - SEGURO DE VIDA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33257,,SUL AMERICA SEGUROS DE VIDA E PREVIDENCIA S/A,,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/17/2022,2/17/2022,2/17/2022,78.64,0,0,0,0,78.64,PGTO. SEGURO DE VIDA PJ'S - CRY,PESSOAL - SEGURO DE VIDA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,2022000805,,FOLHA DE PAGAMENTO,,BORDERO, ,2/17/2022,2/17/2022,2/17/2022,92633.00,0,0,0,0,92633.00,PGTO. ADIANTAMENTO REF. À FEV/22 - CRY,PESSOAL - ADIANTAMENTOS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33257,,TELEFONICA BRASIL S A (VIVO),240460194,TRANSFERENCIA DE ARQUIVOS,CONCESSIONÁRIAS,2/18/2022,2/18/2022,2/18/2022,88.22,0,0,0,0,88.22,N.F. NO. 240460194                      - REF SALA DR RICARDO,TELEFONIA FIXA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33265,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,34797,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,494.63,0,0,0,0,494.63,PCC -  N.F.: 34797 - EMPRESA TEJOFRAN DE SANEAMENTO E SERVICOS LTDA,MATERIAL DE LIMPEZA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33263,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,34912,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,106.37,0,0,0,0,106.37,IRRF -  N.F.: 34912 - EMPRESA TEJOFRAN DE SANEAMENTO E SERVICOS LTDA,MATERIAL DE LIMPEZA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,2022001051,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,19235,BORDERO, ,2/18/2022,2/18/2022,2/18/2022,52.50,0,0,0,0,52.50,IRRF -  N.F.: 19235 - ID COM COMUNICACAO DIGITAL LTDA EPP,CAMPANHAS E BRINDES
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33257,,BANCO ITAUCARD S A,,TRANSFERENCIA DE ARQUIVOS,TITULOS MESMO BANCO,2/18/2022,2/18/2022,2/18/2022,772.40,0,0,0,0,772.40,CARTAO CORPORATIVO ,CARTÃO CORPORATIVO
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33263,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,415644,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,12.93,0,0,0,0,12.93,IRRF -  N.F.: 415644 - SOFTPLAN PLANEJAMENTO E SISTEMAS LTDA,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33263,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,400,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,406.95,0,0,0,0,406.95,IRRF -  N.F.: 400 - NDBIM BRASIL CONSULTORIA EM TECNOLOGIA DA INFORMAÇ,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33265,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,1802273,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,20.33,0,0,0,0,20.33,PCC -  N.F.: 1802273 - SOFTMATIC SISTEMAS AUTOMATICOS DE INFORMATICA LTDA,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33265,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,410446,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,40.08,0,0,0,0,40.08,PCC -  N.F.: 410446 - SOFTPLAN PLANEJAMENTO E SISTEMAS LTDA,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33263,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,35824,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,17.70,0,0,0,0,17.70,IRRF -  N.F.: 35824 - SENIOR SISTEMAS S/A,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33265,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,35824,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,54.88,0,0,0,0,54.88,PCC -  N.F.: 35824 - SENIOR SISTEMAS S/A,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33263,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,193737,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,11.28,0,0,0,0,11.28,IRRF -  N.F.: 193737 - BOA VISTA SERVIÇOS S.A,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33265,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,193737,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,34.98,0,0,0,0,34.98,PCC -  N.F.: 193737 - BOA VISTA SERVIÇOS S.A,SOFTWARE - AQUISIÇÃO DE LICEN.
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33334,,BUTORI E QUEIROZ SOCIEDADE DE ADVOGADOS,,TRANSFERENCIA DE ARQUIVOS,CREDITO EM C/C,2/18/2022,2/18/2022,2/18/2022,95.91,0,0,0,0,95.91,REEMBOLSO REF DESPESAS LEGAIS (GUIA FEDTJ),LEGAIS
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33263,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,504,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,69.19,0,0,0,0,69.19,IRRF -  N.F.: 504 - SFB CONSULTORIA CONTABIL E FISCAL LTDA,AUDITORIA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33265,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,496,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,180.05,0,0,0,0,180.05,PCC -  N.F.: 496 - SFB CONSULTORIA CONTABIL E FISCAL LTDA,AUDITORIA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33263,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,481,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,75.00,0,0,0,0,75.00,IRRF -  N.F.: 481 - MARIO SERGIO TOGNOLLO ADVOGADOS ASSOCIADOS EPP,ASSESSORIA JURIDICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33265,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,481,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,232.50,0,0,0,0,232.50,PCC -  N.F.: 481 - MARIO SERGIO TOGNOLLO ADVOGADOS ASSOCIADOS EPP,ASSESSORIA JURIDICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33265,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,37552,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,20.46,0,0,0,0,20.46,PCC -  N.F.: 37552 - LABORATORIO DE PATOLOGIA CIRURGICA DE SAO PAULO,PESSOAL - ASSISTENCIA MEDICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33263,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,38378,TRANSFERENCIA DE ARQUIVOS,DARF,2/18/2022,2/18/2022,2/18/2022,99.00,0,0,0,0,99.00,IRRF -  N.F.: 38378 - LABORATORIO DE PATOLOGIA CIRURGICA DE SAO PAULO,PESSOAL - ASSISTENCIA MEDICA
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,2022000750,,MINIST  ECONOMIA FAZENDA E PLANEJAMENTO,,BORDERO, ,2/18/2022,2/18/2022,2/18/2022,28581.52,0,0,0,0,28581.52,PGTO. IRRF SOBRE FOLHA REF. À JAN/22 - CRY,PESSOAL - IRPF
CONSTRUTORA R. YAZBEK LTDA,OBRA 001 - ESCRITÓRIO,33297,,SOFTPLAN PLANEJAMENTO E SISTEMAS LTDA,415644,TRANSFERENCIA DE ARQUIVOS,TITULOS OUTROS BANCOS,2/21/2022,2/21/2022,2/21/2022,808.95,0,0,0,0,808.95,"N.F. NO. 415644                         - SUPORTE TECNICO, MANUTENÇAO E OUTROS SERVIÇOS EM TI",SOFTWARE - AQUISIÇÃO DE LICEN.
